# CONVERGE 4.0.3/  Aug  6 2024       Run Date:Wed Jun  4 14:16:41 2025
# column        1                2                3                4                5                6                7                8                9               10               11               12               13
#           Crank               AR               N2               HE               H2                H               O2                O              H2O               OH              OHV             H2O2              HO2
#           (DEG)             (kg)             (kg)             (kg)             (kg)             (kg)             (kg)             (kg)             (kg)             (kg)             (kg)             (kg)             (kg)
#
   -3.7068879e+02    0.0000000e+00    7.2533541e-05    0.0000000e+00    1.6133971e-06    0.0000000e+00    1.8052391e-05    0.0000000e+00    4.3361609e-06    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7054081e+02    0.0000000e+00    7.2516627e-05    0.0000000e+00    1.6134761e-06    0.0000000e+00    1.8050219e-05    0.0000000e+00    4.3329313e-06    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7047031e+02    0.0000000e+00    7.2509279e-05    0.0000000e+00    1.6135173e-06    0.0000000e+00    1.8049306e-05    0.0000000e+00    4.3314950e-06    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7039937e+02    0.0000000e+00    7.2502318e-05    0.0000000e+00    1.6135607e-06    0.0000000e+00    1.8048460e-05    0.0000000e+00    4.3301127e-06    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7025512e+02    0.0000000e+00    7.2489396e-05    0.0000000e+00    1.6136544e-06    0.0000000e+00    1.8046950e-05    0.0000000e+00    4.3274832e-06    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7018208e+02    0.0000000e+00    7.2483420e-05    0.0000000e+00    1.6137042e-06    0.0000000e+00    1.8046280e-05    0.0000000e+00    4.3262355e-06    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.7003582e+02    0.0000000e+00    7.2472436e-05    0.0000000e+00    1.6138078e-06    0.0000000e+00    1.8045103e-05    0.0000000e+00    4.3238834e-06    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6996265e+02    0.0000000e+00    7.2467377e-05    0.0000000e+00    1.6138615e-06    0.0000000e+00    1.8044587e-05    0.0000000e+00    4.3227715e-06    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6988273e+02    0.0000000e+00    7.2462154e-05    0.0000000e+00    1.6139214e-06    0.0000000e+00    1.8044076e-05    0.0000000e+00    4.3216009e-06    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6972126e+02    0.0000000e+00    7.2452438e-05    0.0000000e+00    1.6140480e-06    0.0000000e+00    1.8043191e-05    0.0000000e+00    4.3193503e-06    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6963994e+02    0.0000000e+00    7.2447904e-05    0.0000000e+00    1.6141146e-06    0.0000000e+00    1.8042812e-05    0.0000000e+00    4.3182634e-06    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6955827e+02    0.0000000e+00    7.2443556e-05    0.0000000e+00    1.6141836e-06    0.0000000e+00    1.8042471e-05    0.0000000e+00    4.3171958e-06    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
