# CONVERGE 4.0.3/  Aug  6 2024       Run Date:Wed Jun  4 14:16:41 2025
# column        1                2                3                4                5
#           Crank      Total_Cells          Region1          Region0          Region2
#           (DEG)           (none)           (none)           (none)           (none)
#
   -3.3138989e+02           302076            74314           189854            37908
   -3.3124121e+02           303957            74449           191603            37905
   -3.3118834e+02           298033            74449           185673            37911
   -3.3109318e+02           299012            74504           186598            37910
   -3.3097424e+02           300737            74578           188250            37909
   -3.3085529e+02           302246            74659           189677            37910
   -3.3078921e+02           303125            74718           190499            37908
   -3.3067026e+02           304545            74835           191803            37907
   -3.3055131e+02           305907            74902           193095            37910
   -3.3049845e+02           306329            74926           193492            37911
   -3.3034976e+02           308246            75092           195246            37908
   -3.3028368e+02           308969            75128           195933            37908
   -3.3013500e+02           311515            75221           198390            37904
   -3.3005239e+02           312452            75280           199264            37908
   -3.2998631e+02           313333            75322           200101            37910
   -3.2986736e+02           315141            75412           201821            37908
   -3.2978476e+02           316382            75582           202890            37910
   -3.2966581e+02           317822            75752           204163            37907
   -3.2959973e+02           309947            75789           196243            37915
   -3.2948079e+02           312252            75914           198424            37914
   -3.2936184e+02           314279            75984           200386            37909
   -3.2924289e+02           315764            76129           201728            37907
   -3.2919003e+02           316459            76161           202392            37906
   -3.2909487e+02           317849            76255           203687            37907
   -3.2894618e+02           318856            76328           204615            37913
   -3.2888010e+02           319735            76379           205447            37909
   -3.2879790e+02           320908            76459           206540            37909
   -3.2864993e+02           323034            76613           208514            37907
   -3.2856709e+02           324180            76698           209570            37912
   -3.2841797e+02           326214            76821           211481            37912
   -3.2833517e+02           327425            76885           212630            37910
   -3.2826893e+02           328116            76947           213257            37912
   -3.2818612e+02           329128            76995           214219            37914
   -3.2803707e+02           330965            77109           215944            37912
   -3.2797083e+02           331926            77184           216829            37913
   -3.2788802e+02           319775            77154           204708            37913
   -3.2773998e+02           321891            77252           206724            37915
   -3.2768734e+02           322612            77293           207404            37915
   -3.2753930e+02           324946            77426           209608            37912
   -3.2745647e+02           326122            77538           210671            37913
   -3.2739020e+02           326921            77603           211406            37912
   -3.2722507e+02           329504            77750           213841            37913
   -3.2715877e+02           330980            78011           215056            37913
   -3.2707648e+02           332026            78058           216061            37907
   -3.2698591e+02           333277            78139           217228            37910
   -3.2683061e+02           335411            78270           219233            37908
   -3.2674835e+02           336881            78318           220655            37908
   -3.2668254e+02           337747            78380           221452            37915
   -3.2653448e+02           340216            78534           223768            37914
   -3.2645222e+02           341320            78610           224798            37912
   -3.2638641e+02           342223            78720           225590            37913
   -3.2621283e+02           344333            79005           227413            37915
   -3.2612144e+02           345551            79116           228523            37912
   -3.2604833e+02           346689            79196           229579            37914
   -3.2596547e+02           331494            79257           214325            37912
   -3.2588260e+02           332568            79353           215299            37916
   -3.2578549e+02           333760            79527           216320            37913
   -3.2562494e+02           336490            79835           218745            37910
   -3.2555865e+02           337489            79926           219648            37915
   -3.2547579e+02           339154            80004           221235            37915
   -3.2539289e+02           340217            80091           222218            37908
   -3.2524366e+02           342261            80300           224049            37912
   -3.2517734e+02           343667            80443           225315            37909
   -3.2509447e+02           345057            80536           226616            37905
   -3.2494589e+02           347329            80811           228604            37914
   -3.2486299e+02           348524            81010           229599            37915
   -3.2479668e+02           349504            81233           230361            37910
   -3.2467732e+02           351933            81470           232549            37914
   -3.2459442e+02           353061            81654           233495            37912
   -3.2449746e+02           353272            81790           233566            37916
   -3.2433756e+02           356755            82052           236789            37914
   -3.2427171e+02           357760            82181           237671            37908
   -3.2418939e+02           358872            82295           238658            37919
   -3.2404122e+02           340760            82309           220540            37911
   -3.2395829e+02           342019            82523           221583            37913
   -3.2387595e+02           343046            82635           222500            37911
   -3.2377485e+02           344394            82830           223651            37913
   -3.2369398e+02           345910            82927           225068            37915
