# CONVERGE 4.0.3/  Aug  6 2024       Run Date:Wed Jun  4 14:16:41 2025
# column        1                2                3                4                5                6                7                8                9               10               11
#           Crank      Lambda_Mean    Lambda_StdDev         Phi_Mean       Phi_StdDev    Rct_Lmda_Mean  Rct_Lmda_StdDev     Rct_Phi_Mean   Rct_Phi_StdDev         NOT_USED         NOT_USED
#           (DEG)           (none)           (none)           (none)           (none)           (none)           (none)           (none)           (none)           (none)           (none)
#
   -3.7135787e+02    1.3157804e+00    4.3916270e-01    7.6000525e-01    1.9193511e-01    1.4111736e+00    5.9407325e+19    7.0863004e-01    4.4869630e-01   -1.0000000e+00   -1.0000000e+00
   -3.7128805e+02    1.3156956e+00    4.3912441e-01    7.6005421e-01    1.9192003e-01    1.4110123e+00    5.9397061e+19    7.0871103e-01    4.4865571e-01   -1.0000000e+00   -1.0000000e+00
   -3.7114321e+02    1.3155282e+00    4.3904865e-01    7.6015096e-01    1.9189019e-01    1.4106938e+00    5.9376772e+19    7.0887106e-01    4.4857541e-01   -1.0000000e+00   -1.0000000e+00
   -3.7106775e+02    1.3154454e+00    4.3901116e-01    7.6019878e-01    1.9187542e-01    1.4105364e+00    5.9366741e+19    7.0895014e-01    4.4853567e-01   -1.0000000e+00   -1.0000000e+00
   -3.7099332e+02    1.3153667e+00    4.3897548e-01    7.6024426e-01    1.9186136e-01    1.4103868e+00    5.9357199e+19    7.0902533e-01    4.4849785e-01   -1.0000000e+00   -1.0000000e+00
   -3.7084232e+02    1.3152160e+00    4.3890706e-01    7.6033137e-01    1.9183440e-01    1.4101005e+00    5.9338920e+19    7.0916933e-01    4.4842533e-01   -1.0000000e+00   -1.0000000e+00
   -3.7076634e+02    1.3151446e+00    4.3887460e-01    7.6037266e-01    1.9182161e-01    1.4099648e+00    5.9330255e+19    7.0923756e-01    4.4839093e-01   -1.0000000e+00   -1.0000000e+00
   -3.7068879e+02    1.3150747e+00    4.3884279e-01    7.6041308e-01    1.9180907e-01    1.4098320e+00    5.9321769e+19    7.0930437e-01    4.4835722e-01   -1.0000000e+00   -1.0000000e+00
   -3.7054081e+02    1.3149490e+00    4.3878553e-01    7.6048579e-01    1.9178650e-01    1.4095933e+00    5.9306504e+19    7.0942449e-01    4.4829654e-01   -1.0000000e+00   -1.0000000e+00
   -3.7047031e+02    1.3148925e+00    4.3875977e-01    7.6051847e-01    1.9177635e-01    1.4094860e+00    5.9299640e+19    7.0947848e-01    4.4826923e-01   -1.0000000e+00   -1.0000000e+00
   -3.7039937e+02    1.3148377e+00    4.3873478e-01    7.6055015e-01    1.9176650e-01    1.4093821e+00    5.9292987e+19    7.0953081e-01    4.4824276e-01   -1.0000000e+00   -1.0000000e+00
   -3.7025512e+02    1.3147324e+00    4.3868671e-01    7.6061106e-01    1.9174755e-01    1.4091823e+00    5.9280193e+19    7.0963140e-01    4.4819181e-01   -1.0000000e+00   -1.0000000e+00
